"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 16 05:47:25 GMT 2020","Wed Sep 16 05:47:25 GMT 2020","2","","io.qameta.allure.examples.AllureBehaviorsMappingTest","","io.qameta.allure.examples.AllureBehaviorsMappingTest","allureLambdaBehaviorsMappingTest","allureLambdaBehaviorsMappingTest()",""
"passed","Wed Sep 16 05:47:25 GMT 2020","Wed Sep 16 05:47:25 GMT 2020","3","","Suite from lambda annotation","","io.qameta.allure.examples.AllureBehaviorsMappingTest","allureLambdaSuiteTest","allureLambdaSuiteTest()",""
"passed","Wed Sep 16 05:47:25 GMT 2020","Wed Sep 16 05:47:25 GMT 2020","33","","io.qameta.allure.examples.AllureStepTest","","io.qameta.allure.examples.AllureStepTest","allureSimpleStepTest","allureSimpleStepTest()",""
"passed","Wed Sep 16 05:47:25 GMT 2020","Wed Sep 16 05:47:25 GMT 2020","38","","io.qameta.allure.examples.AllureStepTest","","io.qameta.allure.examples.AllureStepTest","allureStepAnnotationTest","allureStepAnnotationTest()",""
"passed","Wed Sep 16 05:47:25 GMT 2020","Wed Sep 16 05:47:25 GMT 2020","3","","io.qameta.allure.examples.AllureBehaviorsMappingTest","","io.qameta.allure.examples.AllureBehaviorsMappingTest","allureStoryMappingTest","allureStoryMappingTest()",""
"passed","Wed Sep 16 05:47:25 GMT 2020","Wed Sep 16 05:47:25 GMT 2020","9","","io.qameta.allure.examples.AllureStepTest","","io.qameta.allure.examples.AllureStepTest","allureLambdaStepTest","allureLambdaStepTest()",""
"passed","Wed Sep 16 05:47:25 GMT 2020","Wed Sep 16 05:47:25 GMT 2020","4","","io.qameta.allure.examples.AllureBehaviorsMappingTest","","io.qameta.allure.examples.AllureBehaviorsMappingTest","allureEpicMappingTest","allureEpicMappingTest()",""
"passed","Wed Sep 16 05:47:25 GMT 2020","Wed Sep 16 05:47:25 GMT 2020","11","","io.qameta.allure.examples.AllureAttachmentTest","","io.qameta.allure.examples.AllureAttachmentTest","allureSimpleAttachmentTest","allureSimpleAttachmentTest()",""
"passed","Wed Sep 16 05:47:25 GMT 2020","Wed Sep 16 05:47:25 GMT 2020","0","","io.qameta.allure.examples.AllureBehaviorsMappingTest","","io.qameta.allure.examples.AllureBehaviorsMappingTest","allureBehaviorsMappingTest","allureBehaviorsMappingTest()",""
"passed","Wed Sep 16 05:47:25 GMT 2020","Wed Sep 16 05:47:25 GMT 2020","18","","io.qameta.allure.examples.AllureAttachmentTest","","io.qameta.allure.examples.AllureAttachmentTest","allureAttachmentAnnotationTest","allureAttachmentAnnotationTest()",""
"passed","Wed Sep 16 05:47:25 GMT 2020","Wed Sep 16 05:47:25 GMT 2020","2","","io.qameta.allure.examples.AllureBehaviorsMappingTest","","io.qameta.allure.examples.AllureBehaviorsMappingTest","allureFeatureMappingTest","allureFeatureMappingTest()",""
