"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","9","0","0"
"Epic from class annotation","Feature from class annotation","Story2 from class annotation","0","0","6","0","0"
"Epic from class annotation","Feature from class annotation","Story from class annotation","0","0","6","0","0"
"Epic2 from test annotation","Feature from class annotation","Story2 from class annotation","0","0","1","0","0"
"Epic2 from test annotation","Feature from class annotation","Story from class annotation","0","0","1","0","0"
"Epic2 from lambda method","Feature from class annotation","Story2 from class annotation","0","0","1","0","0"
"Epic2 from lambda method","Feature from class annotation","Story from class annotation","0","0","1","0","0"
"Epic from class annotation","Feature from class annotation","Story from test annotation","0","0","1","0","0"
"Epic from class annotation","Feature from test annotation","Story2 from class annotation","0","0","1","0","0"
"Epic from class annotation","Feature from test annotation","Story from class annotation","0","0","1","0","0"
"Epic from class annotation","Feature from test annotation","Story from test annotation","0","0","1","0","0"
"Epic from test annotation","Feature from class annotation","Story2 from class annotation","0","0","1","0","0"
"Epic from test annotation","Feature from class annotation","Story from class annotation","0","0","1","0","0"
"Epic from test annotation","Feature from class annotation","Story from test annotation","0","0","1","0","0"
"Epic from test annotation","Feature from test annotation","Story2 from class annotation","0","0","1","0","0"
"Epic from test annotation","Feature from test annotation","Story from class annotation","0","0","1","0","0"
"Epic from test annotation","Feature from test annotation","Story from test annotation","0","0","1","0","0"
"Epic from class annotation","Feature from class annotation","Story from lambda method","0","0","1","0","0"
"Epic from class annotation","Feature from lambda method","Story from class annotation","0","0","1","0","0"
"Epic from class annotation","Feature from lambda method","Story2 from class annotation","0","0","1","0","0"
"Epic from class annotation","Feature from lambda method","Story from lambda method","0","0","1","0","0"
"Epic from lambda method","Feature from class annotation","Story from class annotation","0","0","1","0","0"
"Epic from lambda method","Feature from class annotation","Story2 from class annotation","0","0","1","0","0"
"Epic from lambda method","Feature from class annotation","Story from lambda method","0","0","1","0","0"
"Epic from lambda method","Feature from lambda method","Story from class annotation","0","0","1","0","0"
"Epic from lambda method","Feature from lambda method","Story2 from class annotation","0","0","1","0","0"
"Epic from lambda method","Feature from lambda method","Story from lambda method","0","0","1","0","0"
"Epic from class annotation","Feature from class annotation","Story2 from test annotation","0","0","1","0","0"
"Epic from class annotation","Feature from class annotation","Story2 from lambda method","0","0","1","0","0"
"Epic from class annotation","Feature2 from test annotation","Story from class annotation","0","0","1","0","0"
"Epic from class annotation","Feature2 from test annotation","Story2 from class annotation","0","0","1","0","0"
"Epic from class annotation","Feature2 from lambda method","Story from class annotation","0","0","1","0","0"
"Epic from class annotation","Feature2 from lambda method","Story2 from class annotation","0","0","1","0","0"
